country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh_2017,estimated_generation_note_2017
AFG,Afghanistan,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33,32.322,65.119,Hydro,119.5,HYDRO-V1
AFG,Afghanistan,Kandahar DOG,WKS0070144,10,31.67,65.795,Solar,18.29,SOLAR-V1-NO-AGE
AFG,Afghanistan,Kandahar JOL,WKS0071196,10,31.623,65.792,Solar,18.72,SOLAR-V1-NO-AGE
AFG,Afghanistan,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66,34.556,69.4787,Hydro,174.91,HYDRO-V1
AFG,Afghanistan,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100,34.641,69.717,Hydro,350.8,HYDRO-V1
AFG,Afghanistan,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,34.4847,70.3633,Hydro,46.12,HYDRO-V1
AFG,Afghanistan,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42,34.5638,69.1134,Gas,0,NO-ESTIMATION
AFG,Afghanistan,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6,35.9416,68.71,Hydro,19.74,HYDRO-V1
AFG,Afghanistan,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22,34.5865,69.7757,Hydro,80,HYDRO-V1
ALB,Albania,Bistrica 1,WRI1002169,27,39.9116,20.1047,Hydro,88.45,HYDRO-V1
ALB,Albania,Fierza,WRI1002170,500,42.2514,20.0431,Hydro,1648.24,HYDRO-V1
ALB,Albania,Koman,WRI1002171,600,42.1033,19.8224,Hydro,1982.72,HYDRO-V1
ALB,Albania,Lanabregas,WRI1002172,5,41.3428,19.8964,Hydro,15.23,HYDRO-V1
ALB,Albania,Shkopet,WRI1002173,24,41.6796,19.8305,Hydro,83.57,HYDRO-V1
ALB,Albania,Ulez,WRI1002174,25,41.6796,19.8936,Hydro,87.06,HYDRO-V1
ALB,Albania,Vau i Dijes,WRI1002175,250,42.0137,19.6359,Hydro,703.64,HYDRO-V1
ALB,Albania,Vlora,WRI1002176,98,40.4874,19.434,Other,0,NO-ESTIMATION
DZA,Algeria,Adrar,WKS0068905,20,27.908,-0.317,Solar,35.17,SOLAR-V1-NO-AGE
DZA,Algeria,Ain Azel,WKS0065285,20,35.88,5.475,Solar,38.75,SOLAR-V1-NO-AGE
DZA,Algeria,Ain Djasser,WRI1023776,520,35.8665,6.0262,Gas,2171.28,CAPACITY-FACTOR-V1
DZA,Algeria,Ain Sekhouna,WKS0068919,20,34.532,0.804,Solar,35.46,SOLAR-V1-NO-AGE
DZA,Algeria,Ain el Ibel I,WKS0068916,20,34.346,3.164,Solar,34.81,SOLAR-V1-NO-AGE
DZA,Algeria,Ain el Ibel II,WKS0073479,53,34.342,3.169,Solar,85.55,SOLAR-V1-NO-AGE
DZA,Algeria,Ain el Melh,WKS0068915,20,34.861,4.204,Solar,33.75,SOLAR-V1-NO-AGE
DZA,Algeria,Algerie Sud-Ouest,WKS0068912,43.5,27.908,-0.317,Solar,74.02,SOLAR-V1-NO-AGE
DZA,Algeria,Annaba,WRI1023795,71,36.8924,7.7634,Gas,296.46,CAPACITY-FACTOR-V1
DZA,Algeria,Aoulef,WKS0068908,5,26.9989,1.3351,Solar,8.64,SOLAR-V1-NO-AGE
DZA,Algeria,Arbaa,WRI1023777,560,36.5988,3.1375,Gas,2338.3,CAPACITY-FACTOR-V1
DZA,Algeria,Bir Rebaa,WKS0072833,10,31.285,8.565,Solar,16.67,SOLAR-V1-NO-AGE
DZA,Algeria,Boufarik 1,WRI1023792,100,36.5914,2.9223,Gas,417.55,CAPACITY-FACTOR-V1
DZA,Algeria,Boufarik 2,WRI1023793,450,36.596,2.878,Gas,1878.99,CAPACITY-FACTOR-V1
DZA,Algeria,Boutelilis,WRI1023781,450,35.5658,-0.9386,Gas,1878.99,CAPACITY-FACTOR-V1
DZA,Algeria,Chelghoum El Aïd,WKS0065282,15,36.225,6.11,Solar,28.34,SOLAR-V1-NO-AGE
DZA,Algeria,El Kheneg,WKS0068917,60,33.727,2.811,Solar,95.16,SOLAR-V1-NO-AGE
DZA,Algeria,F'Krina,WRI1023785,292,35.7666,7.3619,Gas,1219.25,CAPACITY-FACTOR-V1
DZA,Algeria,HPC Ouargla,WKS0068918,30,32.602,5.834,Solar,48.72,SOLAR-V1-NO-AGE
DZA,Algeria,Hadjret Ennous,WRI1023768,1200,36.5767,2.0797,Gas,5010.64,CAPACITY-FACTOR-V1
DZA,Algeria,Hamma 2,WRI1023783,418,36.7489,3.0823,Gas,1745.37,CAPACITY-FACTOR-V1
DZA,Algeria,Hassi Messaoud Mobile,WRI1023796,72,31.6703,6.0531,Gas,300.63,CAPACITY-FACTOR-V1
DZA,Algeria,Hassi Messoud,WRI1023779,600,31.6703,6.0531,Gas,2505.32,CAPACITY-FACTOR-V1
DZA,Algeria,Hassi Messoud Nord 2,WRI1023790,200,31.7877,6.0517,Gas,835.1,CAPACITY-FACTOR-V1
DZA,Algeria,Hassi Messoud Ouest,WRI1023799,492,31.8065,5.9924,Gas,2054.36,CAPACITY-FACTOR-V1
DZA,Algeria,Hassi R'mel ISCC,WKS0071083,20,33.123,3.356,Solar,34.69,SOLAR-V1-NO-AGE
DZA,Algeria,Hauts Plateaux Centre,WKS0068911,106.6,34.342,3.169,Solar,173.33,SOLAR-V1-NO-AGE
DZA,Algeria,Hauts Plateaux Est,WKS0065280,73.8,35.68,5.9861,Solar,130.11,SOLAR-V1-NO-AGE
DZA,Algeria,Ighil Emda,WRI1023798,24,36.4739,5.2719,Hydro,30.82,HYDRO-V1
DZA,Algeria,In Salah,WKS0068914,5,27.183,2.504,Solar,8.75,SOLAR-V1-NO-AGE
DZA,Algeria,Jijel,WRI1023775,588,36.8139,5.876,Gas,2455.21,CAPACITY-FACTOR-V1
DZA,Algeria,Kahrama IPP,WRI1023784,345,35.8064,-0.2476,Gas,1440.56,CAPACITY-FACTOR-V1
DZA,Algeria,Koudiet Eddraouch,WRI1023769,1200,36.885,8.0778,Gas,5010.64,CAPACITY-FACTOR-V1
DZA,Algeria,Labiodh Sidi Cheikh,WKS0068921,20,32.945,0.555,Solar,33.84,SOLAR-V1-NO-AGE
