Symbol,Date,Open,Close,Volume,MarketCap,Sector,Industry
A,2018-12-31,269.36383295160516,183.53197063722487,12037283,73751327051.44571,Technology,Major Pharmaceuticals
A,2019-01-01,183.4371962505137,265.4808529472285,7648155,98635064538.08923,Transportation,
A,2019-01-02,204.54030487269054,182.94379159473266,10000,116772125685.9354,Consumer Services,Biotechnology: Biological Products (No Diagnostic Substances)
A,2019-01-03,251.17094440023985,183.53197063722487,11593632,91866380321.91899,Technology,Major Pharmaceuticals
A,2019-01-04,229.48683326379413,235.60577738039987,595490,102274397363.3063,Capital Goods,
A,2019-01-06,268.45300751404824,247.6619247447909,554407,99721255727.25041,,Radio And Television Broadcasting And Communications Equipment
A,2019-01-07,274.34684400452215,183.53197063722487,10000,70362691312.11215,Technology,Semiconductors
A,2019-01-08,291.7339257554371,236.5274509993094,4322922,70061535852.20847,Technology,
A,2019-01-09,216.37552973798958,283.355579374927,7875500,71964875212.38747,Consumer Services,
A,2019-01-10,246.7721779358177,215.5307802918952,3741512,80844866423.05199,,Radio And Television Broadcasting And Communications Equipment
A,2019-01-12,288.7356081304549,251.47853564202268,573465,57500344084.09513,Miscellaneous,Computer Software: Prepackaged Software
A,2019-01-13,261.47251022068895,287.95038085936835,4618877,50552013834.42336,Consumer Services,Semiconductors
A,2019-01-14,262.4367267858918,288.44201795559786,6569659,69375878327.83987,Technology,Semiconductors
A,2019-01-15,183.4371962505137,302.1146503956683,1032599,67052938857.38169,Health Care,Semiconductors
A,2019-01-17,282.6472471864216,267.84157477777126,1931715,50499920607.443565,Health Care,Semiconductors
A,2019-01-18,183.4371962505137,292.24708560320835,4672212,58790681170.245514,Technology,Computer Software: Prepackaged Software
A,2019-01-19,183.4371962505137,256.4336796336546,286892,34327338168.765305,Consumer Services,Railroads
A,2019-01-20,257.21411811216535,239.4517862570855,3195173,36730744363.279594,,Semiconductors
A,2019-01-21,226.44727241851626,241.08624017837315,3053112,41965977537.57681,Technology,Business Services
A,2019-01-22,254.63823968785266,257.49913035184,10000,57247738181.261284,Consumer Services,Industrial Specialties
A,2019-01-23,270.1146780390607,271.75670270199936,2695166,32430362255.88803,Consumer Services,Hotels/Resorts
A,2019-01-24,279.44229668451914,255.7146712433629,491393,46081176400.94066,Consumer Services,Telecommunications Equipment
A,2019-01-25,288.47793561680237,183.53197063722487,1550308,52870688638.98894,,Semiconductors
A,2019-01-26,253.54430944384086,255.3407006791099,1065995,43846794643.938644,Technology,
A,2019-01-28,273.0293247037749,239.44899042058026,2514001,45980259170.14438,Consumer Non-Durables,Electronic Components
A,2019-01-29,247.30192584496854,259.6728778729269,121598,52283632323.838646,Consumer Non-Durables,Medical/Dental Instruments
A,2019-01-30,285.4470480878232,259.90086363655064,2334603,54461899496.957375,Health Care,Business Services
A,2019-01-31,264.51814721319687,284.4626252933639,1723254,63377228441.75579,Technology,Computer Software: Prepackaged Software
A,2019-02-01,183.4371962505137,278.01399547601005,10000,37101547262.69646,Health Care,Broadcasting
A,2019-02-02,280.0411898330148,286.8936863324356,662594,39001589641.24612,Technology,Clothing/Shoe/Accessory Stores
A,2019-02-03,265.1500489766808,296.2185340518246,4188921,18877680805.422882,Consumer Services,Other Specialty Stores
A,2019-02-04,269.1585951756373,296.91889767999027,1658638,36828392370.91255,Technology,Major Pharmaceuticals
A,2019-02-06,315.69495132403813,284.0995264512827,10000,36352781227.89724,,
A,2019-02-07,282.92598660187826,252.56662078541615,10000,36316555222.85068,Public Utilities,Industrial Machinery/Components
A,2019-02-08,272.66198321650756,250.41706141971446,1628815,42390924411.16747,Health Care,Semiconductors
A,2019-02-09,266.7970139092636,279.9000746827695,1264529,45003334958.35843,Consumer Services,EDP Services
A,2019-02-10,258.3614526451527,264.62071845491243,1832416,42052265332.64639,Technology,Biotechnology: Biological Products (No Diagnostic Substances)
A,2019-02-11,300.74405803068385,274.0955845286958,387066,,Consumer Services,Television Services
A,2019-02-13,264.2651601329318,267.3356293188932,2279529,59622279433.16171,Technology,Medical/Nursing Services
A,2019-02-14,183.4371962505137,183.53197063722487,3062116,56288294561.72928,Technology,
A,2019-02-15,233.61908280097828,257.54689219304885,2527385,63368913453.60385,Health Care,Semiconductors
A,2019-02-17,272.67539899862265,246.05657473538125,2566308,61024469137.45265,Health Care,Television Services
A,2019-02-18,260.3183054735772,235.79762355566538,4227831,65362629792.964195,Capital Goods,Semiconductors
A,2019-02-19,305.3127591976009,254.6412675334232,4853622,52360324862.02783,Public Utilities,Computer Software: Prepackaged Software
A,2019-02-20,255.26663176340588,244.8686777898438,279289,54813479055.21014,Health Care,Computer Software: Prepackaged Software
A,2019-02-21,228.82532289550477,273.40522797624743,10000,53825730489.94399,Miscellaneous,Clothing/Shoe/Accessory Stores
A,2019-02-23,245.95202528595055,250.0911248189047,588809,34201342732.876297,Technology,Apparel
A,2019-02-24,270.94954505557735,307.42619551116,10000,22401899513.430977,Consumer Durables,Computer Software: Prepackaged Software
A,2019-02-25,213.23221813037014,264.9204391507837,22893,12963024658.225273,Consumer Services,Business Services
A,2019-02-26,266.38362531634544,240.47572955638537,1180670,24519537369.201653,Technology,Business Services
A,2019-02-27,257.7543731495587,183.53197063722487,3857582,31551619014.28264,Health Care,Industrial Machinery/Components
A,2019-02-28,254.44426362303247,259.7416282387324,2481167,37526499929.35829,,Semiconductors
A,2019-03-01,283.1600827868564,256.55325979940864,4390430,35841179664.72959,Technology,Major Pharmaceuticals
A,2019-03-02,246.06509426974816,280.7343663409524,10000,29054002034.362617,,
A,2019-03-03,244.9798724389144,228.64817364704305,499325,46269677143.72477,Consumer Non-Durables,Television Services
A,2019-03-04,280.1656170443781,224.29112360318646,2763822,60896092749.31297,Technology,"Computer Software: Programming, Data Processing"
A,2019-03-05,249.46330573755495,246.66960468257153,10000,50222204637.62555,Consumer Services,
A,2019-03-06,221.9015640946553,231.75207007792113,1892232,67357327092.37591,Technology,Television Services
A,2019-03-07,233.0901640556011,201.53432239286593,479255,60373845452.35953,Consumer Non-Durables,Computer Software: Prepackaged Software
A,2019-03-09,216.08461389896834,276.4475282226443,2756864,43433775703.88597,Consumer Non-Durables,Computer Software: Prepackaged Software
A,2019-03-10,269.40866921491994,183.53197063722487,2403007,48330253248.47595,Consumer Services,Business Services
A,2019-03-11,263.70410142032915,222.14140184195776,1934726,58575427059.28882,,Consumer Electronics/Video Chains
A,2019-03-12,254.09010101394495,254.55293753394437,2788047,66748120969.60907,Technology,Television Services
A,2019-03-14,254.87280529359145,263.3775763067196,6569659,53820393140.37317,Health Care,Business Services
A,2019-03-15,235.85763195694108,292.0165366236991,2119968,48260705498.06247,Consumer Services,Computer Software: Prepackaged Software
A,2019-03-17,255.71880240795838,260.57158349743776,10000,30271825317.660736,Technology,Clothing/Shoe/Accessory Stores
A,2019-03-18,276.3799799001206,268.83367099750745,2121471,51550990337.127846,Health Care,Major Pharmaceuticals
A,2019-03-19,273.8501617427885,289.5089653460726,10000,45167585905.22704,Health Care,Biotechnology: Laboratory Analytical Instruments
A,2019-03-20,239.20558469358014,306.40251555595796,10000,21798663150.504295,Health Care,Other Specialty Stores
A,2019-03-22,271.2200367043969,257.55794386702087,1289241,19701694972.66636,Health Care,Consumer Electronics/Video Chains
A,2019-03-23,270.7616275895476,242.2251814561249,1070745,21213057034.170105,Consumer Non-Durables,Major Pharmaceuticals
A,2019-03-24,206.93567346606216,233.98138759271745,1393730,,Consumer Services,Department/Specialty Retail Stores
A,2019-03-25,211.61653329146972,250.95604339566464,685392,64135340631.37513,Consumer Services,Biotechnology: Laboratory Analytical Instruments
A,2019-03-26,235.34621778011828,208.60999645248262,1757506,38606276257.711136,Transportation,Semiconductors
A,2019-03-28,219.13115244256343,216.16758801658494,5926079,43649474915.810844,Consumer Services,Biotechnology: Laboratory Analytical Instruments
A,2019-03-29,225.08481595092616,233.1161705593133,10000,25750279201.20774,,Industrial Specialties
A,2019-03-30,227.12482206064894,257.27102169430395,10000,24134610962.273567,Technology,Television Services
A,2019-04-01,269.94952089926153,183.53197063722487,2396509,16144154519.291351,Consumer Services,Computer Software: Prepackaged Software
A,2019-04-02,258.01740671152544,240.1909360817925,2260945,31351116959.05906,Technology,Computer Software: Prepackaged Software
A,2019-04-03,248.58565562516299,231.79271285035213,2880654,34546945772.705864,,Diversified Commercial Services
A,2019-04-04,240.22258257815088,200.55151344164634,10000,33572369685.76728,Consumer Services,Biotechnology: Biological Products (No Diagnostic Substances)
A,2019-04-05,223.33862775343238,221.05730636164637,859875,25495774136.54216,Technology,Apparel
A,2019-04-06,225.16885981553685,221.5045655883241,6569659,27895673591.97518,Consumer Services,Business Services
A,2019-04-07,238.12292054782594,226.95448047094965,1558381,20873281823.937042,Technology,Computer Software: Prepackaged Software
A,2019-04-08,238.79052461178497,246.00373913122095,3789976,29475104239.72046,Health Care,Computer Software: Prepackaged Software
A,2019-04-09,227.76806011614906,243.63539787811453,10000,31019266670.185867,Miscellaneous,Computer Software: Prepackaged Software
A,2019-04-10,249.52959496834615,221.004720934379,1246836,12810284543.77044,Health Care,Industrial Specialties
A,2019-04-11,264.79354365089955,183.53197063722487,472075,22321958993.339424,Public Utilities,RETAIL: Building Materials
A,2019-04-12,188.54833942911588,249.26548401433536,1419659,21283786571.102158,Consumer Non-Durables,
