country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh_2017,estimated_generation_note_2017
AUT,Austria,sdv-pii-b6pcm,sdv-id-SvBBaw,199.46,-39.926275,154.245765,Gas,420.85,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-m4lxm,sdv-id-ripuCT,12.049,8.6130965,-104.556872,Gas,38.09,SOLAR-V1-NO-AGE
AUS,Australia,sdv-pii-y17mx,sdv-id-wkPhaw,110.727,65.802853,29.240304,Hydro,339.85,HYDRO-V1
AUS,Australia,sdv-pii-4msrg,sdv-id-IbxoNa,20.987,21.957225,0.313169,Gas,1339.95,HYDRO-V1
AUT,Bangladesh,sdv-pii-r9m5c,sdv-id-DIUTQH,227.488,-25.048974,131.64604,Hydro,987.97,HYDRO-V1
AUS,Argentina,sdv-pii-x7447,sdv-id-jknUPZ,34.593,-88.7302905,-43.103272,Oil,99.02,CAPACITY-FACTOR-V1
ATA,Argentina,sdv-pii-rzt1z,sdv-id-nAjBPX,166.669,43.4214785,-101.242935,Oil,756.25,CAPACITY-FACTOR-V1
AUT,Austria,sdv-pii-tt9px,sdv-id-sAPqMy,2.412,-82.156957,152.957336,Oil,2.0,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-5vlq3,sdv-id-sVqlXL,39.16,-27.4586905,-51.863107,Gas,149.73,CAPACITY-FACTOR-V1
AUS,Argentina,sdv-pii-qlu3q,sdv-id-XtDrMZ,1.019,7.5400035,120.357373,Oil,38.86,CAPACITY-FACTOR-V1
AUS,Austria,sdv-pii-nfsnm,sdv-id-CZqbNO,1.0,-75.9068825,-82.599166,Oil,46.24,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-arkav,sdv-id-DSduIl,12.874,-49.571522,85.741832,Gas,378.9,SOLAR-V1-NO-AGE
ARG,Argentina,sdv-pii-f4eel,sdv-id-MqYApi,1.012,-38.2040945,-147.063641,Hydro,0.33,CAPACITY-FACTOR-V1
AUS,Austria,sdv-pii-18yj5,sdv-id-sSzhjs,497.75,55.4819335,6.803741,Oil,232.41,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-foxdc,sdv-id-TBhAUp,1.61,-40.017283,-85.262982,Oil,13.59,CAPACITY-FACTOR-V1
AUT,Australia,sdv-pii-w2beb,sdv-id-BJfCdO,7.187,3.546608,135.759086,Gas,26.26,CAPACITY-FACTOR-V1
AUS,Argentina,sdv-pii-cgjbz,sdv-id-CbyIWX,5.041,58.302656,-100.845707,Gas,363.8,HYDRO-V1
DZA,Algeria,sdv-pii-uk7x2,sdv-id-EQDcrp,18.639,0.791318,-30.361465,Coal,1.01,CAPACITY-FACTOR-V1
AUT,Austria,sdv-pii-3nc1a,sdv-id-oUFwfM,1.057,-82.635828,110.305324,Hydro,0.04,HYDRO-V1
AUS,Austria,sdv-pii-imrj5,sdv-id-qyOFpR,27.273,-13.9505015,-64.108695,Oil,90.3,HYDRO-V1
AUS,Argentina,sdv-pii-i0w0t,sdv-id-qdPSHX,246.831,81.656784,104.051168,Gas,1852.07,HYDRO-V1
AUS,Australia,sdv-pii-viqjs,sdv-id-edsMkx,1319.02,-12.5144055,101.218116,Gas,231.35,HYDRO-V1
AUS,Argentina,sdv-pii-9c8b2,sdv-id-ehamSS,2.153,-25.2033185,-45.267042,Coal,0.78,SOLAR-V1-NO-AGE
AUS,Austria,sdv-pii-6kyqp,sdv-id-mihdpP,110.683,-31.521702,-33.518766,Solar,2339.41,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-x54vj,sdv-id-HmjGqa,706.226,-49.84612,-24.87826,Coal,833.14,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-6e7wu,sdv-id-GqAzSY,917.905,-57.1633475,-160.287832,Oil,2518.58,NO-ESTIMATION
ARG,Argentina,sdv-pii-1lhy4,sdv-id-dQZdzL,2.204,-48.615793,72.707166,Hydro,0.3,HYDRO-V1
AUS,Argentina,sdv-pii-1al58,sdv-id-sSUwBC,319.428,-52.1604495,118.292544,Coal,39.19,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-6hd1a,sdv-id-TPiczS,2.079,15.9833165,-176.272878,Solar,450.03,CAPACITY-FACTOR-V1
DZA,Albania,sdv-pii-mfjeg,sdv-id-kfFMlb,3.011,-7.1163545,-156.108194,Oil,69.87,CAPACITY-FACTOR-V1
BGD,Bangladesh,sdv-pii-w42vm,sdv-id-oNhOow,846.609,-27.682571,11.972557,Solar,4592.35,NO-ESTIMATION
AUS,Australia,sdv-pii-fw6ge,sdv-id-VSOdDr,302.204,-16.512879,127.55522,Oil,604.1,CAPACITY-FACTOR-V1
DZA,Angola,sdv-pii-m2s44,sdv-id-klAGRv,2.731,5.2878625,-105.31214,Oil,72.94,CAPACITY-FACTOR-V1
DZA,Argentina,sdv-pii-uyr7d,sdv-id-vJESDT,527.613,33.010974,-174.331506,Biomass,542.54,WIND-V1
AUT,Azerbaijan,sdv-pii-y9wkb,sdv-id-ZkeeNM,33.876,-37.833765,73.819795,Solar,2274.47,CAPACITY-FACTOR-V1
ARG,Algeria,sdv-pii-zrwn1,sdv-id-Kljpvc,1.001,79.4372655,-82.962739,Oil,0.4,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-zic12,sdv-id-MqviDf,3.339,54.05091,-77.071519,Hydro,299.23,SOLAR-V1-NO-AGE
AUS,Austria,sdv-pii-5bgsb,sdv-id-ALeMBR,114.869,76.5682205,-132.158116,Gas,1980.64,SOLAR-V1-NO-AGE
AUS,Armenia,sdv-pii-bpfgw,sdv-id-LqqbZT,135.029,-79.281797,-97.628585,Oil,452.98,CAPACITY-FACTOR-V1
AFG,Albania,sdv-pii-4caz8,sdv-id-SyHtiZ,257.145,14.695076,-117.537827,Gas,1722.43,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-4twkq,sdv-id-RNRKCW,4.029,89.9749925,-36.999823,Solar,11.42,CAPACITY-FACTOR-V1
DZA,Algeria,sdv-pii-fufzt,sdv-id-UOEccf,958.832,-11.84749,-159.539768,Solar,899.2,HYDRO-V1
AUS,Australia,sdv-pii-k37fk,sdv-id-vFAEbi,243.467,47.130187,146.282539,Gas,509.48,HYDRO-V1
BGD,Austria,sdv-pii-ioymm,sdv-id-wwQuyl,3.014,-38.0867695,-135.30422,Gas,211.16,CAPACITY-FACTOR-V1
AUS,Austria,sdv-pii-bwxq4,sdv-id-GtpQdn,827.219,-75.7185495,42.672552,Solar,400.62,CAPACITY-FACTOR-V1
DZA,Algeria,sdv-pii-oz6v5,sdv-id-CWfBWd,208.738,-49.0791855,161.607392,Gas,395.76,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-d9s6l,sdv-id-EBcNkD,49.976,2.217995,-175.72664,Gas,424.79,SOLAR-V1-NO-AGE
AUS,Austria,sdv-pii-mbj9w,sdv-id-AmQgOe,15.341,-59.574339,-20.897361,Oil,397.81,CAPACITY-FACTOR-V1
AUS,Austria,sdv-pii-f3pa4,sdv-id-XUOjRW,488.358,-63.6686525,-116.810258,Oil,729.84,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-h77q7,sdv-id-Eokbix,13.799,-51.01404,133.204928,Gas,588.32,SOLAR-V1-NO-AGE
AUS,Australia,sdv-pii-1mkg6,sdv-id-cTNWgP,26.955,-7.860281,-17.606452,Hydro,382.46,HYDRO-V1
AUS,Australia,sdv-pii-jwxuf,sdv-id-SEZwoI,85.055,-40.6452475,-114.525973,Gas,272.71,CAPACITY-FACTOR-V1
ARG,Australia,sdv-pii-kj6ct,sdv-id-HoTuYW,41.83,70.520639,-136.129717,Gas,1039.69,CAPACITY-FACTOR-V1
ARG,Australia,sdv-pii-6iy90,sdv-id-JmWTQY,1.747,68.1845795,139.281186,Oil,0.51,CAPACITY-FACTOR-V1
DZA,Algeria,sdv-pii-k1b4v,sdv-id-kIYxOx,185.636,23.738233,142.272062,Biomass,2195.81,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-d3xm0,sdv-id-qrRtwN,121.075,52.926912,2.964268,Gas,132.75,HYDRO-V1
AUS,Australia,sdv-pii-eyvsz,sdv-id-nnhZla,14.501,-15.821304,-130.28938,Coal,1.09,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-y5l5w,sdv-id-psFLJV,12.71,-40.806473,-19.381572,Gas,11.37,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-ymp77,sdv-id-NNrwRm,1.0,-54.3418545,148.418845,Oil,119.21,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-k5muq,sdv-id-RZioVR,1.078,7.938376,-43.02889,Hydro,272.11,HYDRO-V1
AUS,Australia,sdv-pii-9t100,sdv-id-AvxIvP,62.979,-65.1016045,-69.23511,Waste,27.55,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-j28ut,sdv-id-lLbCjV,43.023,-78.4621105,-12.712295,Solar,127.86,SOLAR-V1-NO-AGE
DZA,Australia,sdv-pii-s75h9,sdv-id-EEAtpB,28.048,-3.3006215,-76.873095,Wind,904.29,CAPACITY-FACTOR-V1
ARG,Australia,sdv-pii-ak6lr,sdv-id-UgHIoI,50.238,67.9215295,52.039829,Hydro,841.11,HYDRO-V1
AUS,Australia,sdv-pii-bl7ga,sdv-id-GdpzFu,106.559,-55.639857,116.866011,Solar,508.62,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-6p6z0,sdv-id-Sphexa,5.075,-49.240989,130.25809,Gas,430.25,CAPACITY-FACTOR-V1
BGD,Australia,sdv-pii-vx8xt,sdv-id-wDriVk,230.543,50.089803,6.913509,Hydro,1587.86,SOLAR-V1-NO-AGE
AUS,Australia,sdv-pii-kajhk,sdv-id-kYlvGx,177.021,27.8851235,52.724255,Wind,97.36,CAPACITY-FACTOR-V1
AUT,Austria,sdv-pii-poolh,sdv-id-HjJzxc,1.004,-23.428106,138.878497,Gas,41.31,CAPACITY-FACTOR-V1
ARG,Australia,sdv-pii-14gp3,sdv-id-ZTbvnw,13.97,-59.565373,97.950973,Gas,367.98,CAPACITY-FACTOR-V1
AGO,Algeria,sdv-pii-u0zdo,sdv-id-bIRsXv,237.098,19.704985,90.992012,Hydro,176.52,HYDRO-V1
AUT,Bahrain,sdv-pii-1wtf8,sdv-id-arevxJ,1.535,75.091348,-66.385682,Hydro,2757.59,CAPACITY-FACTOR-V1
BGD,Bangladesh,sdv-pii-pxl83,sdv-id-attOlr,1157.816,43.367751,8.112778,Hydro,5434.42,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-dzhu6,sdv-id-muimxt,2.173,57.2514365,176.260041,Hydro,550.59,HYDRO-V1
ALB,Albania,sdv-pii-ka4cd,sdv-id-ABmaCF,169.742,-67.115765,-59.476694,Hydro,503.89,CAPACITY-FACTOR-V1
