country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh_2017,estimated_generation_note_2017
AUS,Australia,sdv-pii-b6pcm,sdv-id-SvBBaw,1.9268426161088428,-39.926275,154.245765,Waste,46.55256163790996,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-m4lxm,sdv-id-ripuCT,14.72716097309668,8.6130965,-104.556872,Oil,121.38481850011425,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-y17mx,sdv-id-wkPhaw,1.0,65.802853,29.240304,Oil,44.09488730199347,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-4msrg,sdv-id-IbxoNa,184.691044206985,21.957225,0.313169,Gas,377.7744642494713,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-r9m5c,sdv-id-DIUTQH,60.85659147370416,-25.048974,131.64604,Wind,296.5977960006779,HYDRO-V1
DZA,Algeria,sdv-pii-x7447,sdv-id-jknUPZ,1428.1335418639108,-88.7302905,-43.103272,Gas,6240.508965753019,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-rzt1z,sdv-id-nAjBPX,15.366210508067375,43.4214785,-101.242935,Oil,68.09097874746786,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-tt9px,sdv-id-sAPqMy,28.207561047683235,-82.156957,152.957336,Oil,131.0023581947558,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-5vlq3,sdv-id-sVqlXL,628.1474700081737,-27.4586905,-51.863107,Gas,13537.266884662895,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-qlu3q,sdv-id-XtDrMZ,441.788936076671,7.5400035,120.357373,Coal,1275.4808025358552,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-nfsnm,sdv-id-CZqbNO,362.514062674416,-75.9068825,-82.599166,Hydro,840.1134204304532,HYDRO-V1
AUS,Australia,sdv-pii-arkav,sdv-id-DSduIl,37.42998929100792,-49.571522,85.741832,Wind,119.91876541270247,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-f4eel,sdv-id-MqYApi,1.0,-38.2040945,-147.063641,Oil,0.0,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-18yj5,sdv-id-sSzhjs,24.577676501437868,55.4819335,6.803741,Oil,105.45073074409265,CAPACITY-FACTOR-V1
AUT,Austria,sdv-pii-foxdc,sdv-id-TBhAUp,21.008836283567373,-40.017283,-85.262982,Hydro,59.49377936558456,HYDRO-V1
AUS,Australia,sdv-pii-w2beb,sdv-id-BJfCdO,116.13888122490161,3.546608,135.759086,Gas,319.4483501171035,CAPACITY-FACTOR-V1
AUT,Austria,sdv-pii-cgjbz,sdv-id-CbyIWX,249.70676574305793,58.302656,-100.845707,Gas,1335.323961457027,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-uk7x2,sdv-id-EQDcrp,6.85252508365495,0.791318,-30.361465,Hydro,101.86823998141054,HYDRO-V1
AUS,Australia,sdv-pii-3nc1a,sdv-id-oUFwfM,23.7787312257029,-82.635828,110.305324,Gas,126.4165007210352,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-imrj5,sdv-id-qyOFpR,1025.3210431016025,-13.9505015,-64.108695,Gas,4959.474985772387,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-i0w0t,sdv-id-qdPSHX,533.6526363913179,81.656784,104.051168,Hydro,2698.8016096777715,HYDRO-V1
AUS,Australia,sdv-pii-viqjs,sdv-id-edsMkx,130.19754841033,-12.5144055,101.218116,Solar,240.2553631197975,SOLAR-V1-NO-AGE
ARG,Argentina,sdv-pii-9c8b2,sdv-id-ehamSS,476.0942252313013,-25.2033185,-45.267042,Hydro,1749.5545997480633,HYDRO-V1
ARG,Argentina,sdv-pii-6kyqp,sdv-id-mihdpP,86.78569853420669,-31.521702,-33.518766,Hydro,468.9518736278485,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-x54vj,sdv-id-HmjGqa,3.6128339270566094,-49.84612,-24.87826,Hydro,69.79418033733867,HYDRO-V1
AUS,Australia,sdv-pii-6e7wu,sdv-id-GqAzSY,73.60909816081949,-57.1633475,-160.287832,Oil,251.4345802419288,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-1lhy4,sdv-id-dQZdzL,254.49234861928505,-48.615793,72.707166,Gas,595.1749205134645,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-1al58,sdv-id-sSUwBC,338.32094874735316,-52.1604495,118.292544,Gas,2947.553627450341,CAPACITY-FACTOR-V1
AZE,Azerbaijan,sdv-pii-6hd1a,sdv-id-TPiczS,272.8008131508419,15.9833165,-176.272878,Hydro,718.0982173717123,HYDRO-V1
AUS,Australia,sdv-pii-mfjeg,sdv-id-kfFMlb,36.21700900663573,-7.1163545,-156.108194,Wind,748.9822222485192,CAPACITY-FACTOR-V1
BGD,Bangladesh,sdv-pii-w42vm,sdv-id-oNhOow,82.04165045566882,-27.682571,11.972557,Gas,479.85578522324874,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-fw6ge,sdv-id-VSOdDr,21.059526246987534,-16.512879,127.55522,Oil,41.549001901031325,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-m2s44,sdv-id-klAGRv,8.703200362248008,5.2878625,-105.31214,Hydro,67.53360916178143,HYDRO-V1
ARG,Argentina,sdv-pii-uyr7d,sdv-id-vJESDT,158.31972865687237,33.010974,-174.331506,Gas,1317.8859998806174,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-y9wkb,sdv-id-ZkeeNM,17.744314467192567,-37.833765,73.819795,Biomass,36.17213526026155,NO-ESTIMATION
AUS,Australia,sdv-pii-zrwn1,sdv-id-Kljpvc,114.98044618909672,79.4372655,-82.962739,Oil,265.107714872391,CAPACITY-FACTOR-V1
DZA,Algeria,sdv-pii-zic12,sdv-id-MqviDf,438.9298289978158,54.05091,-77.071519,Gas,2953.6823167296443,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-5bgsb,sdv-id-ALeMBR,11.639777537712362,76.5682205,-132.158116,Oil,63.52011263813735,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-bpfgw,sdv-id-LqqbZT,295.42584864540083,-79.281797,-97.628585,Gas,1001.6289993113414,CAPACITY-FACTOR-V1
DZA,Algeria,sdv-pii-4caz8,sdv-id-SyHtiZ,87.41278143102814,14.695076,-117.537827,Hydro,467.92016635318294,HYDRO-V1
BGD,Bangladesh,sdv-pii-4twkq,sdv-id-RNRKCW,9.763539882679506,89.9749925,-36.999823,Oil,77.74947271398693,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-fufzt,sdv-id-UOEccf,1.0,-11.84749,-159.539768,Wind,0.0,CAPACITY-FACTOR-V1
AUS,Australia,sdv-pii-k37fk,sdv-id-vFAEbi,46.826772211480005,47.130187,146.282539,Hydro,124.5726979714994,HYDRO-V1
AUT,Austria,sdv-pii-ioymm,sdv-id-wwQuyl,14.329883091924266,-38.0867695,-135.30422,Hydro,17.767936752603703,HYDRO-V1
AUS,Australia,sdv-pii-bwxq4,sdv-id-GtpQdn,12.797941022027848,-75.7185495,42.672552,Oil,36.123651091784815,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-oz6v5,sdv-id-CWfBWd,38.3826244460743,-49.0791855,161.607392,Gas,141.70406711760927,CAPACITY-FACTOR-V1
BGD,Bangladesh,sdv-pii-d9s6l,sdv-id-EBcNkD,48.892304003143124,2.217995,-175.72664,Gas,255.45633211837446,CAPACITY-FACTOR-V1
ARG,Argentina,sdv-pii-mbj9w,sdv-id-AmQgOe,49.55167514730932,-59.574339,-20.897361,Gas,195.2311949897079,CAPACITY-FACTOR-V1
